,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,229000,젠큐릭스,"5,830","1,290",18.12,"780,470","5,470","6,400","5,400","22,886","5,326",4.297033420953811
1,096610,알에프세미,"3,125",410,11.60,"702,761","3,545","3,695","3,110","42,898","16,434",2.6103200681513936
2,007390,네이처셀,"13,500","1,700",11.18,"1,918,502","14,750","14,850","13,300","120,233","67,201",1.789154923289832
3,064240,홈캐스트,"4,845",555,10.28,"984,963","5,350","5,490","4,845","24,254","12,563",1.9305898272705564
4,053950,경남제약,"2,455",255,9.41,"2,847,083","2,655","2,665","2,450","171,886","64,835",2.651129791007943
5,019570,리더스 기술투자,530,52,8.93,"8,360,394",597,597,515,"257,000","162,671",1.57987594592767
6,227610,아우딘퓨쳐스,"2,725",255,8.56,"7,332,467","2,980","2,995","2,600","49,175","49,246",0.9985582585387646
7,019590,엠벤처투자,928,71,7.11,"2,773,238","1,000","1,000",901,"24,803","12,426",1.996056655399968
8,053590,한국테크놀로지,528,38,6.71,"26,802,411",572,576,517,"440,186","466,434",0.9437262292199968
9,073640,테라사이언스,"2,235",160,6.68,"2,978,390","2,250","2,340","2,175","430,224","62,113",6.926472719076521
10,054180,메디콕스,"2,130",130,5.75,"1,876,434","2,240","2,310","2,095","75,327","52,629",1.4312831328735107
11,214870,뉴지랩파마,"11,950",700,5.53,"322,062","12,650","12,750","11,950","67,329","33,187",2.0287763280802724
12,227100,에이치앤비디자인,"3,770",220,5.51,"73,844","3,970","3,970","3,735","2,667","2,256",1.1821808510638299
13,041590,플래스크,"1,060",60,5.36,"800,502","1,120","1,120","1,045","245,284","115,335",2.1267091516018555
14,036690,코맥스,"3,865",210,5.15,"439,262","4,065","4,105","3,810","33,894","7,292",4.648107515085025
15,048410,현대바이오,"26,250","1,350",4.89,"558,846","27,350","27,400","26,100","67,072","31,915",2.1015823280589063
16,298060,에스씨엠생명과학,"11,800",600,4.84,"227,991","12,400","12,500","11,700","43,621","12,797",3.408689536610143
17,222110,팬젠,"6,450",320,4.73,"16,835","6,780","6,830","6,360","1,952","1,116",1.7491039426523298
18,351330,이삭엔지니어링,"10,200",500,4.67,"287,751","10,700","10,750","10,000","47,097","32,133",1.4656894781066194
19,032750,삼진,"7,680",370,4.60,"162,621","8,020","8,050","7,660","17,329","3,228",5.368339529120198
20,051160,지어소프트,"11,550",550,4.55,"681,911","12,000","12,150","11,450","101,663","25,596",3.9718315361775276
21,256840,한국비엔씨,"5,060",240,4.53,"458,763","5,280","5,310","5,050","70,540","27,348",2.5793476671054556
22,025870,신라에스지,"11,650",550,4.51,"152,992","11,950","12,200","11,600","22,008","12,589",1.748192866788466
23,207760,미스터블루,"3,510",165,4.49,"10,432,316","3,695","3,710","3,440","237,459","145,127",1.6362151770518236
24,226950,올릭스,"21,550","1,000",4.43,"50,275","22,550","22,550","21,500","10,246","6,047",1.694393914337688
25,950200,소마젠,"7,420",340,4.38,"180,145","7,760","7,760","7,410","27,547","6,561",4.198597774729462
26,187420,제노포커스,"6,180",280,4.33,"51,279","6,460","6,460","6,130","8,971","2,650",3.3852830188679244
27,265560,영화테크,"10,050",450,4.29,"410,214","10,450","11,400","9,960","16,358","29,645",0.5517962556923596
28,293490,카카오게임즈,"46,200","2,050",4.25,"1,124,655","48,800","48,800","46,100","79,705","23,230",3.4311235471373225
29,304840,피플바이오,"15,800",700,4.24,"364,975","16,600","16,700","15,750","82,396","39,231",2.1002778415028933
30,322180,티라유텍,"10,200",450,4.23,"84,818","10,650","10,700","9,950","13,152","6,192",2.124031007751938
31,095700,제넥신,"14,850",650,4.19,"370,286","15,500","15,550","14,800","111,449","103,956",1.072078571703413
32,284620,카이노스메드,"5,280",230,4.17,"214,802","5,510","5,560","5,230","18,360","4,094",4.484611626770884
33,351320,에스에이티이엔지,"3,490",150,4.12,"507,017","3,575","3,665","3,480","32,741","6,467",5.062780269058296
34,051500,CJ프레시웨이,"31,500","1,350",4.11,"116,880","33,050","33,050","31,450","21,581","1,843",11.70971242539338
35,239890,피엔에이치테크,"14,050",600,4.10,"28,640","14,650","14,650","13,900","14,698","3,170",4.636593059936908
36,115450,HLB테라퓨틱스,"12,850",550,4.10,"924,234","13,500","13,750","12,450","118,561","39,071",3.034501292518748
37,111870,KH 전자,283,12,4.07,"9,854,688",291,293,275,"923,562","342,705",2.6949183700266994
38,237690,에스티팜,"83,200","3,500",4.04,"190,734","87,700","87,800","82,500","13,339","3,045",4.380623973727422
39,113810,디젠스,951,39,3.94,"232,933",982,986,947,"12,644","27,112",0.46636175863086454
40,288980,모아데이타,"2,945",120,3.92,"2,746,993","3,005","3,010","2,930","332,150","89,875",3.6956884561891514
41,182400,엔케이맥스,"12,350",500,3.89,"271,161","12,900","12,900","12,300","49,626","20,498",2.4210166845545906
42,196700,웹스,"3,470",140,3.88,"385,465","3,580","3,600","3,455","23,351","30,661",0.7615863800919735
43,084990,헬릭스미스,"11,200",450,3.86,"122,487","11,550","11,700","11,100","14,167","13,727",1.0320536169592773
44,039200,오스코텍,"17,650",700,3.81,"121,197","18,350","18,350","17,550","33,908","6,704",5.057875894988067
45,263800,데이타솔루션,"7,320",290,3.81,"2,015,763","7,430","7,520","7,220","61,588","17,784",3.4631129104813314
46,354200,엔젠바이오,"10,100",400,3.81,"121,684","10,200","10,400","10,000","35,335","15,438",2.2888327503562635
47,900100,애머릿지,"2,320",90,3.73,"136,468","2,380","2,380","2,310","2,588","6,813",0.3798620284749743
48,215600,신라젠,"6,720",260,3.72,"1,286,144","7,000","7,000","6,700","144,640","40,995",3.5282351506281255
49,118990,모트렉스,"14,350",550,3.69,"555,651","14,950","14,950","14,300","110,635","62,232",1.7777831340789305
50,060240,룽투코리아,"3,035",115,3.65,"651,730","3,160","3,165","3,025","89,164","19,070",4.675616151022549
51,251370,와이엠티,"13,350",500,3.61,"83,274","13,750","14,050","13,150","24,683","4,647",5.311598880998494
52,334970,프레스티지바이오로직스,"3,105",115,3.57,"826,965","3,170","3,265","3,085","34,021","5,855",5.810589239965841
53,115570,스타플렉스,"5,440",200,3.55,"7,162","5,640","5,660","5,420","2,438","3,529",0.69084726551431
54,020180,대신정보통신,"1,235",45,3.52,"2,674,867","1,335","1,350","1,225","301,886","172,091",1.7542230564062038
55,330350,위더스제약,"9,090",330,3.50,"135,042","9,410","9,420","9,090","19,921","7,081",2.813303205761898
56,217730,강스템바이오텍,"2,910",105,3.48,"183,383","3,015","3,020","2,900","20,332","5,616",3.6203703703703702
57,097870,효성오앤비,"8,150",290,3.44,"155,230","8,400","8,560","8,070","6,469","1,865",3.4686327077747987
58,263720,디앤씨미디어,"26,750",950,3.43,"232,230","27,450","27,500","26,300","21,396","9,884",2.1647106434641845
59,065370,위세아이텍,"12,750",450,3.41,"97,430","13,200","13,300","12,450","23,076","5,369",4.298007077668094
60,115530,씨엔플러스,567,20,3.41,"812,575",586,589,564,"59,855","32,883",1.8202414621536964
61,299660,셀리드,"12,850",450,3.38,"20,895","13,200","13,300","12,850","11,166","5,958",1.8741188318227593
