,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,227610,아우딘퓨쳐스,"3,460",395,10.25,"933,768","3,765","3,800","3,395","1,791","2,728",0.656524926686217
1,054180,메디콕스,"2,245",245,9.84,"1,278,915","2,280","2,340","2,215","38,567","10,077",3.8272303264860574
2,037440,희림,"10,800",900,7.69,"815,231","11,300","11,400","10,750","19,124","6,881",2.7792472024415056
3,060230,소니드,"4,070",270,6.22,"589,496","4,235","4,265","4,055",694,"1,837",0.37778987479586285
4,083650,비에이치아이,"7,210",400,5.26,"513,356","7,550","7,660","7,180",517,"2,362",0.2188823031329382
5,224060,더코디,"8,710",480,5.22,"107,152","9,280","9,280","8,580",239,411,0.5815085158150851
6,043910,자연과환경,"1,295",65,4.78,"2,654,226","1,360","1,365","1,265","113,019","51,031",2.214712625658913
7,307930,컴퍼니케이,"5,870",260,4.24,"88,907","6,060","6,080","5,860","1,801",213,8.455399061032864
8,048870,시너지이노베이션,"2,960",125,4.05,"197,821","3,005","3,030","2,940",886,"3,251",0.27253152876038145
9,151860,KG ETS,"10,950",450,3.95,"261,439","11,000","11,100","10,700","16,170","1,146",14.109947643979057
10,064510,유네코,435,17,3.76,"82,165",435,435,435,"3,448","1,360",2.5352941176470587
11,069140,누리플랜,"5,790",220,3.66,"81,753","6,050","6,090","5,550","12,253",343,35.72303206997085
12,206640,바디텍메드,"12,600",450,3.45,"140,722","12,900","12,950","12,550","17,339","15,212",1.1398238232973967
13,046120,오르비텍,"4,890",170,3.36,"408,925","5,130","5,160","4,890","6,447","5,660",1.1390459363957597
14,101670,하이드로리튬,"23,400",800,3.31,"368,154","24,350","24,350","23,050",916,"10,510",0.08715509039010466
15,010470,오리콤,"15,300",500,3.16,"69,321","15,400","15,500","15,150","1,265",581,2.1772805507745265
16,183490,엔지켐생명과학,"1,710",55,3.12,"101,523","1,760","1,760","1,700",106,"7,542",0.01405462741978255
17,091590,남화토건,"9,980",320,3.11,"52,062","10,050","10,100","9,830",730,"3,434",0.21258008153756552
18,189860,서전기전,"6,590",210,3.09,"170,931","7,000","7,000","6,580","2,270","2,089",1.086644327429392
19,203450,유니온커뮤니티,"3,570",110,2.99,"75,569","3,590","3,605","3,560","1,731",830,2.085542168674699
20,148250,알엔투테크놀로지,"9,600",290,2.93,"5,470","9,790","9,790","9,540","1,095",714,1.5336134453781514
21,050860,아세아텍,"2,820",85,2.93,"281,352","2,930","2,930","2,775","4,385","4,774",0.9185169669040637
22,195990,에이비프로바이오,466,14,2.92,"253,984",478,484,465,"12,364","14,295",0.8649178034277719
23,217730,강스템바이오텍,"2,990",90,2.92,"44,471","3,075","3,075","2,970",609,"3,238",0.1880790611488573
24,052020,에스티큐브,"13,300",400,2.92,"87,941","13,550","13,700","13,250","3,170","1,249",2.5380304243394716
25,016670,디모아,509,15,2.86,"248,395",518,522,467,"1,869","2,688",0.6953125
26,042370,비츠로테크,"7,250",200,2.68,"118,952","7,450","7,500","7,230",890,"4,259",0.2089692416060108
27,151910,SBW생명과학,834,22,2.57,"638,543",843,849,822,"23,085","5,950",3.8798319327731092
