,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
1,094480,28.57,갤럭시아머니트리,"5,940","1,165",24.40,"7,240,051","4,700","6,200","4,620","51,064","60,900",0.8384893267651888
2,419530,21.45,SAMG엔터,"47,000","7,500",18.99,"3,034,155","38,900","47,000","38,700","15,797","8,693",1.8172092488208904
3,425040,19.08,티이엠씨,"31,200","3,250",11.63,"3,841,072","27,950","32,900","26,200","21,122","25,126",0.8406431584812545
4,276730,17.71,제주맥주,"1,595",215,15.58,"12,474,713","1,380","1,755","1,355","281,232","210,203",1.3379066901994738
5,031310,14.52,아이즈비전,"3,470",470,15.67,"15,062,478","3,040","3,575","3,030","68,386","65,870",1.038196447548201
6,024830,14.11,세원물산,"10,350","1,250",13.74,"447,914","9,070","10,950","9,070","16,959","24,462",0.6932793720873192
7,195940,11.61,HK이노엔,"42,300","4,450",11.76,"1,003,308","37,900","42,600","37,900","19,186","21,343",0.8989364194349435
8,376290,11.43,씨유테크,"5,020",605,13.70,"3,837,425","4,510","5,730","4,505","18,245","19,300",0.9453367875647668
9,214270,11.04,FSN,"4,075",290,7.66,"3,880,289","3,725","4,095","3,670","27,297","48,871",0.5585521065662663
10,376300,10.17,디어유,"41,150","2,550",6.61,"883,782","37,950","42,000","37,350","10,365","23,037",0.4499283760906368
11,317830,9.70,에스피시스템스,"9,730",730,8.11,"1,940,894","9,000","10,450","8,870","7,222","9,382",0.7697719036452781
12,158430,9.38,아톤,"24,500","1,500",6.52,"67,368","22,950","25,000","22,400","3,123","1,050",2.974285714285714
13,098460,9.32,고영,"15,250","1,250",8.93,"655,913","14,150","15,350","13,950","27,605","76,905",0.35894935309797804
14,039840,9.09,디오,"22,800","1,500",7.04,"227,712","21,000","22,950","20,900","10,690","19,956",0.5356784926839046
15,301300,8.93,바이브컴퍼니,"27,450","1,250",4.77,"80,451","26,000","27,650","25,200","5,307","3,516",1.5093856655290103
16,368970,8.83,오에스피,"6,410",490,8.28,"1,515,283","5,940","6,680","5,890","16,212","6,152",2.6352405721716514
17,900270,8.63,헝셩그룹,428,14,3.38,"4,136,191",413,444,394,"273,138","104,232",2.6204812341699286
18,082920,7.91,비츠로셀,"17,050","1,150",7.23,"400,316","15,950","17,350","15,800","14,453","113,937",0.12685080351422276
19,096610,7.83,알에프세미,"3,030",175,6.13,"662,361","2,860","3,200","2,810","33,085","18,118",1.8260845567943482
20,063170,7.81,서울옥션,"17,950","1,100",6.53,"864,078","16,800","19,000","16,650","6,659","7,994",0.8329997498123592
21,148780,7.37,비플라이소프트,"1,165",55,4.95,"1,081,490","1,090","1,165","1,085","93,790","506,753",0.18508030539533066
22,257720,6.93,실리콘투,"2,700",140,5.47,"2,086,809","2,550","2,705","2,525","119,423","213,854",0.5584323884519345
23,182360,6.72,큐브엔터,"21,450","1,300",6.45,"745,829","20,100","21,450","20,100","21,264","93,466",0.22750518905270364
24,352910,6.67,오비고,"11,200",50,0.44,"59,086","11,150","11,250","10,500","16,385","10,695",1.5320243104254325
25,053270,6.47,구영테크,"2,470",0,0.00,"44,089","2,465","2,485","2,320","23,071","11,927",1.9343506330175233
26,347700,6.30,라이프시맨틱스,"4,890",90,1.81,"30,997","4,980","4,980","4,600","5,970","2,546",2.344854673998429
27,408920,6.21,에스케이증권7호스팩,"3,420",145,4.43,"402,583","3,240","3,630","3,220","9,347","9,492",0.9847239780868099
